College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
2710,Karpagam College of Engineering (Autonomous) Othakkalmandapam Coimbatore District 641032,CE,CIVIL ENGINEERING,144.0,132.5,122,132,,,,116,
2737,Sri Sai Ranganathan Engineering College Zahirnaickenpalayam Village Viraliyur Post Thondamuthur Via Coimbatore District 641109,IT,INFORMATION TECHNOLOGY,144.0,121,,,,,,,
1409,Karpaga Vinayaga College of Engineering and Technology Palayanoor Post Maduranthagam Taluk Chengalpattu District 603308,CS,COMPUTER SCIENCE AND ENGINEERING,144.0,130.5,143,130.5,,,,,
2743,Dhanalakshmi Srinivasan College of Engineering (CBE) NH47 Palakkad Main Road Navakkarai Post Near Nandhi Temple Coimbatore District 641105,SC,Computer Science and Engineering (Cyber Security),144.0,137,137.5,133,,,,123.5,
1504,Arunai Engineering College Mathur Thiruvannamalai District 606603,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,144.0,114.5,139,128,,,,,
2753,PPG Institute of Technology Vilankurichi Village Coimbatore District 641035,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.0,108,122,147,,,,,
2613,K S R College of Engineering (Autonomous) Tiruchengode Namakkal District 637215,CI,Computer Science and Engineering (Internet of Things),144.0,138,,137.5,,,,,
1431,New Prince Shri Bhavani College of Engineering and Technology (Autonomous) Vengaivasal Main Road Gowrivakkam Chennai 600073,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.0,134.5,137.5,124.5,,,120.5,,
1316,Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,IT,INFORMATION TECHNOLOGY,144.0,123,125,104.5,,,107.5,,
4680,AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,IT,INFORMATION TECHNOLOGY,144.0,137.5,129,104,,,,,
2708,Hindusthan College of Engineering and Technology (Autonomous) Othakkalmandapam Post Coimbatore District 641032,MZ,Mechatronics Engineering,144.0,127.5,130.5,120.5,,,,,
