College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
2734,"SNS College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore District 641107",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,158.0,152.5,145.5,139.0,,,,123.0,,2022
1316,"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",IT,INFORMATION TECHNOLOGY,158.0,139.0,137.5,146.5,,,110.0,80.0,,2022
2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, Coimbatore District 641022",ME,MECHANICAL ENGINEERING,158.0,145.5,127.5,129.5,,,,,,2022
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,158.0,152.0,134.5,142.0,,,,,143.65,2022
2740,"Hindusthan Institute of Technology (Autonomous), Othakkalmandapam, Coimbatore District 641032",CS,COMPUTER SCIENCE AND ENGINEERING,158.0,149.5,139.0,145.0,,,,,103.0,2022
4959,"Kamaraj College of Engineering and Technology (Autonomous), Virudhunagar District 626001",IT,INFORMATION TECHNOLOGY,157.5,148.5,136.5,122.5,,,,86.0,,2022
4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157.5,140.5,108.0,127.0,,,,,,2022
2618,"Sona College of Technology (Autonomous), Suramangalam Post, Salem District 636005",BM,BIO MEDICAL ENGINEERING,157.5,147.5,156.5,137.0,,,,104.0,,2022
2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002",CS,COMPUTER SCIENCE AND ENGINEERING,157.5,142.5,147.5,121.5,,,111.0,124.5,104.5,2022
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District 627003",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,157.0,145.5,153.5,119.5,,,,,,2022
1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157.0,151.0,143.5,134.0,,,,,,2022
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",IT,INFORMATION TECHNOLOGY,157.0,147.415,149.0,142.0,,,126.5,,,2022
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157.0,149.5,131.5,139.0,,,107.5,,,2022
5907,"Mohamed Sathak Engineering College, Kilakarai, Ramanathapuram District 623806",AG,AGRICULTURAL ENGINEERING,157.0,114.0,,,,,,,,2022
1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur District 602025",CS,COMPUTER SCIENCE AND ENGINEERING,157.0,139.0,142.5,125.0,,,,,,2022
2622,"V S B Engineering College, Kovai Road, Karur District 639111",IT,INFORMATION TECHNOLOGY,157.0,149.0,,121.0,,,,,,2022
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",CE,CIVIL ENGINEERING,157.0,140.0,148.5,139.5,,,,,,2022
4944,"Arunachala College of Engineering for Women, Thanka Gardens, Manavilai, Vellichanthai, Nagercoil, Kanyakumari District 629203",CS,COMPUTER SCIENCE AND ENGINEERING,156.835,134.0,128.0,,,,,,,2022
4974,"Government College of Engineering, Tirunelveli District 627007",ME,MECHANICAL ENGINEERING,156.815,140.0,140.5,119.0,,,131.0,,,2022
3803,"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur District 614403",IT,INFORMATION TECHNOLOGY,156.5,138.0,156.5,90.5,,,100.5,,,2022
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,156.5,150.0,143.5,129.5,,,,,,2022
4981,"Ponjesly College of Engineering, Vettornimadam Post, Nagercoil, Kanyakumari District 629003",CS,COMPUTER SCIENCE AND ENGINEERING,156.5,149.0,125.5,,,,,,,2022
4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,156.5,143.5,126.0,134.0,,,,,,2022
2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Comibatore District 641062",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,156.5,147.5,135.5,128.5,,,,,,2022
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",MU,MECHANICAL AND AUTOMATION ENGINEERING,156.5,142.5,110.5,139.0,,,,,,2022
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,156.5,131.5,147.5,138.5,,,109.5,,,2022
2751,"KGISL Institute of Technology, KGISL Campus, Thudiyalur Road, Saravanampatti, Coimbatore District 641035",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,156.5,152.0,156.0,138.0,,,,,,2022
3826,"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti, Thottiyam, Tiruchirappalli District 621215",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,156.5,148.5,111.5,135.0,,,92.5,111.5,,2022
2750,"KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam, Coimbatore District 641402",BT,BIO TECHNOLOGY,156.5,137.5,116.5,90.5,,,89.5,98.5,,2022
3830,"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,156.5,148.5,145.0,134.0,,,,,,2022
2734,"SNS College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore District 641107",TS,Computer Science and Technology,156.0,150.0,143.5,135.5,,,,,,2022
2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District 637215",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,156.0,149.0,,147.0,,,,,,2022
